"Year","State","TOTAL.POPULATION","Type"
1790,"CONNECTICUT",237655,"State"
1790,"DELAWARE",59096,"State"
1790,"GEORGIA",82548,"State"
1790,"KENTUCKY",73677,"Territory"
1790,"MAINE",96643,"Territory"
1790,"MARYLAND",319728,"State"
1790,"MASSACHUSETTS",378556,"State"
1790,"NEW HAMPSHIRE",141899,"State"
1790,"NEW JERSEY",184139,"State"
1790,"NEW YORK",340241,"State"
1790,"NORTH CAROLINA",395005,"State"
1790,"PENNSYLVANIA",433611,"State"
1790,"RHODE ISLAND",69112,"State"
1790,"SOUTH CAROLINA",249073,"State"
1790,"VERMONT",85341,"Territory"
1790,"VIRGINIA",747550,"State"
1800,"CONNECTICUT",251002,"State"
1800,"DELAWARE",64273,"State"
1800,"GEORGIA",162686,"State"
1800,"KENTUCKY",220955,"State"
1800,"MAINE",151719,"Territory"
1800,"MARYLAND",341543,"State"
1800,"MASSACHUSETTS",422845,"State"
1800,"NEW HAMPSHIRE",183858,"State"
1800,"NEW JERSEY",211149,"State"
1800,"NEW YORK",586182,"State"
1800,"NORTH CAROLINA",478103,"State"
1800,"PENNSYLVANIA",602365,"State"
1800,"RHODE ISLAND",69122,"State"
1800,"SOUTH CAROLINA",345591,"State"
1800,"TENNESSEE",105602,"State"
1800,"VERMONT",154465,"State"
1800,"VIRGINIA",885171,"State"
1810,"CONNECTICUT",261942,"State"
1810,"DELAWARE",72674,"State"
1810,"GEORGIA",252433,"State"
1810,"KENTUCKY",406511,"State"
1810,"MAINE",228705,"Territory"
1810,"MARYLAND",380546,"State"
1810,"MASSACHUSETTS",472040,"State"
1810,"NEW HAMPSHIRE",214460,"State"
1810,"NEW JERSEY",245562,"State"
1810,"NEW YORK",959049,"State"
1810,"NORTH CAROLINA",555500,"State"
1810,"OHIO",230760,"State"
1810,"PENNSYLVANIA",810019,"State"
1810,"RHODE ISLAND",76931,"State"
1810,"SOUTH CAROLINA",415115,"State"
1810,"TENNESSEE",261727,"State"
1810,"VERMONT",217913,"State"
1810,"VIRGINIA",974622,"State"
1820,"ALABAMA",144317,"State"
1820,"CONNECTICUT",275248,"State"
1820,"DELAWARE",72749,"State"
1820,"GEORGIA",340989,"State"
1820,"ILLINOIS",55211,"State"
1820,"INDIANA",147178,"State"
1820,"KENTUCKY",564317,"State"
1820,"LOUISIANA",153407,"State"
1820,"MAINE",298335,"State"
1820,"MARYLAND",407350,"State"
1820,"MASSACHUSETTS",523287,"State"
1820,"MISSISSIPPI",75448,"State"
1820,"MISSOURI",66586,"Territory"
1820,"NEW HAMPSHIRE",244161,"State"
1820,"NEW JERSEY",277575,"State"
1820,"NEW YORK",1372812,"State"
1820,"NORTH CAROLINA",638829,"State"
1820,"OHIO",581434,"State"
1820,"PENNSYLVANIA",1549458,"State"
1820,"RHODE ISLAND",83059,"State"
1820,"SOUTH CAROLINA",490309,"State"
1820,"TENNESSEE",422813,"State"
1820,"VERMONT",235764,"State"
1820,"VIRGINIA",1065379,"State"
1830,"ALABAMA",309527,"State"
1830,"ARKANSAS",30388,"Territory"
1830,"CONNECTICUT",297675,"State"
1830,"DELAWARE",76748,"State"
1830,"GEORGIA",516823,"State"
1830,"ILLINOIS",157445,"State"
1830,"INDIANA",343031,"State"
1830,"KENTUCKY",687917,"State"
1830,"LOUISIANA",215529,"State"
1830,"MAINE",399455,"State"
1830,"MARYLAND",447040,"State"
1830,"MASSACHUSETTS",610408,"State"
1830,"MICHIGAN",31639,"Territory"
1830,"MISSISSIPPI",136621,"State"
1830,"MISSOURI",140455,"State"
1830,"NEW HAMPSHIRE",269328,"State"
1830,"NEW JERSEY",320823,"State"
1830,"NEW YORK",1918608,"State"
1830,"NORTH CAROLINA",737987,"State"
1830,"OHIO",937903,"State"
1830,"PENNSYLVANIA",1348233,"State"
1830,"RHODE ISLAND",97199,"State"
1830,"SOUTH CAROLINA",581185,"State"
1830,"TENNESSEE",681904,"State"
1830,"VERMONT",280652,"State"
1830,"VIRGINIA",1211405,"State"
1840,"ALABAMA",590756,"State"
1840,"ARKANSAS",97574,"State"
1840,"CONNECTICUT",310015,"State"
1840,"DELAWARE",78085,"State"
1840,"FLORIDA",54477,"Territory"
1840,"GEORGIA",691392,"State"
1840,"ILLINOIS",476183,"State"
1840,"INDIANA",685866,"State"
1840,"IOWA",43112,"Territory"
1840,"KENTUCKY",779828,"State"
1840,"LOUISIANA",352411,"State"
1840,"MAINE",501793,"State"
1840,"MARYLAND",470019,"State"
1840,"MASSACHUSETTS",737699,"State"
1840,"MICHIGAN",212267,"State"
1840,"MISSISSIPPI",375651,"State"
1840,"MISSOURI",383702,"State"
1840,"NEW HAMPSHIRE",284574,"State"
1840,"NEW JERSEY",373306,"State"
1840,"NEW YORK",2428921,"State"
1840,"NORTH CAROLINA",753419,"State"
1840,"OHIO",1519467,"State"
1840,"PENNSYLVANIA",1724033,"State"
1840,"RHODE ISLAND",108830,"State"
1840,"SOUTH CAROLINA",594398,"State"
1840,"TENNESSEE",829210,"State"
1840,"VERMONT",291948,"State"
1840,"VIRGINIA",1239797,"State"
1840,"WISCONSIN",30945,"Territory"
1850,"ALABAMA",771623,"State"
1850,"ARKANSAS",209897,"State"
1850,"CALIFORNIA",92597,"State"
1850,"CONNECTICUT",370792,"State"
1850,"DELAWARE",91532,"State"
1850,"FLORIDA",87445,"State"
1850,"GEORGIA",906185,"State"
1850,"ILLINOIS",851470,"State"
1850,"INDIANA",988416,"State"
1850,"IOWA",192214,"State"
1850,"KENTUCKY",982405,"State"
1850,"LOUISIANA",517762,"State"
1850,"MAINE",583169,"State"
1850,"MARYLAND",583034,"State"
1850,"MASSACHUSETTS",994514,"State"
1850,"MICHIGAN",397654,"State"
1850,"MINNESOTA",6077,"Territory"
1850,"MISSISSIPPI",606526,"State"
1850,"MISSOURI",682044,"State"
1850,"NEW HAMPSHIRE",317976,"State"
1850,"NEW JERSEY",489555,"State"
1850,"NEW YORK",3097394,"State"
1850,"NORTH CAROLINA",869039,"State"
1850,"OHIO",1980329,"State"
1850,"PENNSYLVANIA",2311786,"State"
1850,"RHODE ISLAND",147545,"State"
1850,"SOUTH CAROLINA",668507,"State"
1850,"TENNESSEE",1002717,"State"
1850,"TEXAS",212592,"State"
1850,"VERMONT",314304,"State"
1850,"VIRGINIA",1421661,"State"
1850,"WISCONSIN",305391,"State"
1860,"ALABAMA",964201,"State"
1860,"ARKANSAS",435450,"State"
1860,"CALIFORNIA",379994,"State"
1860,"CONNECTICUT",460147,"State"
1860,"DELAWARE",112216,"State"
1860,"FLORIDA",140424,"State"
1860,"GEORGIA",1057286,"State"
1860,"ILLINOIS",1711951,"State"
1860,"INDIANA",1350428,"State"
1860,"IOWA",674913,"State"
1860,"KANSAS",107206,"Territory"
1860,"KENTUCKY",1155684,"State"
1860,"LOUISIANA",708002,"State"
1860,"MAINE",628279,"State"
1860,"MARYLAND",687049,"State"
1860,"MASSACHUSETTS",1231066,"State"
1860,"MICHIGAN",749113,"State"
1860,"MINNESOTA",172023,"State"
1860,"MISSISSIPPI",791305,"State"
1860,"MISSOURI",1182012,"State"
1860,"NEBRASKA",28841,"Territory"
1860,"NEVADA",6857,"Territory"
1860,"NEW HAMPSHIRE",326073,"State"
1860,"NEW JERSEY",672035,"State"
1860,"NEW YORK",3880735,"State"
1860,"NORTH CAROLINA",992622,"State"
1860,"OHIO",2339511,"State"
1860,"OREGON",52465,"State"
1860,"PENNSYLVANIA",2906215,"State"
1860,"RHODE ISLAND",174620,"State"
1860,"SOUTH CAROLINA",703708,"State"
1860,"TENNESSEE",1109801,"State"
1860,"TEXAS",604215,"State"
1860,"VERMONT",315098,"State"
1860,"VIRGINIA",1596318,"State"
1860,"WISCONSIN",775881,"State"
1870,"ALABAMA",996992,"State"
1870,"ARKANSAS",484471,"State"
1870,"CALIFORNIA",560247,"State"
1870,"COLORADO",39864,"Territory"
1870,"CONNECTICUT",537454,"State"
1870,"DELAWARE",125015,"State"
1870,"FLORIDA",187748,"State"
1870,"GEORGIA",1184109,"State"
1870,"ILLINOIS",2539891,"State"
1870,"INDIANA",1680637,"State"
1870,"IOWA",1194020,"State"
1870,"KANSAS",364399,"State"
1870,"KENTUCKY",1321011,"State"
1870,"LOUISIANA",726915,"State"
1870,"MAINE",626915,"State"
1870,"MARYLAND",780894,"State"
1870,"MASSACHUSETTS",1457351,"State"
1870,"MICHIGAN",1184059,"State"
1870,"MINNESOTA",439706,"State"
1870,"MISSISSIPPI",827922,"State"
1870,"MISSOURI",1721295,"State"
1870,"NEBRASKA",122993,"State"
1870,"NEVADA",42491,"State"
1870,"NEW HAMPSHIRE",318300,"State"
1870,"NEW JERSEY",906096,"State"
1870,"NEW YORK",4382759,"State"
1870,"NORTH CAROLINA",1071361,"State"
1870,"OHIO",2665260,"State"
1870,"OREGON",90923,"State"
1870,"PENNSYLVANIA",3521951,"State"
1870,"RHODE ISLAND",217353,"State"
1870,"SOUTH CAROLINA",705606,"State"
1870,"TENNESSEE",1258520,"State"
1870,"TEXAS",818579,"State"
1870,"VERMONT",330551,"State"
1870,"VIRGINIA",1225163,"State"
1870,"WEST VIRGINIA",442014,"State"
1870,"WISCONSIN",1054670,"State"
1880,"ALABAMA",1262505,"State"
1880,"ARKANSAS",802525,"State"
1880,"CALIFORNIA",864694,"State"
1880,"COLORADO",194327,"State"
1880,"CONNECTICUT",622700,"State"
1880,"DELAWARE",146608,"State"
1880,"FLORIDA",269493,"State"
1880,"GEORGIA",1542180,"State"
1880,"ILLINOIS",3077871,"State"
1880,"INDIANA",1978301,"State"
1880,"IOWA",1624615,"State"
1880,"KANSAS",996096,"State"
1880,"KENTUCKY",1648690,"State"
1880,"LOUISIANA",939946,"State"
1880,"MAINE",648936,"State"
1880,"MARYLAND",934943,"State"
1880,"MASSACHUSETTS",1783085,"State"
1880,"MICHIGAN",1636937,"State"
1880,"MINNESOTA",780773,"State"
1880,"MISSISSIPPI",1131597,"State"
1880,"MISSOURI",2168380,"State"
1880,"NEBRASKA",452402,"State"
1880,"NEVADA",62266,"State"
1880,"NEW HAMPSHIRE",346991,"State"
1880,"NEW JERSEY",1131116,"State"
1880,"NEW YORK",5082871,"State"
1880,"NORTH CAROLINA",1399750,"State"
1880,"OHIO",3198062,"State"
1880,"OREGON",174768,"State"
1880,"PENNSYLVANIA",4282891,"State"
1880,"RHODE ISLAND",276531,"State"
1880,"SOUTH CAROLINA",995577,"State"
1880,"TENNESSEE",1542359,"State"
1880,"TEXAS",1591749,"State"
1880,"VERMONT",332286,"State"
1880,"VIRGINIA",1512565,"State"
1880,"WEST VIRGINIA",618457,"State"
1880,"WISCONSIN",1315497,"State"
1890,"ALABAMA",1513017,"State"
1890,"ARKANSAS",1128179,"State"
1890,"CALIFORNIA",1208130,"State"
1890,"COLORADO",412198,"State"
1890,"CONNECTICUT",746258,"State"
1890,"DELAWARE",168493,"State"
1890,"FLORIDA",391422,"State"
1890,"GEORGIA",1837353,"State"
1890,"IDAHO",84385,"State"
1890,"ILLINOIS",3826351,"State"
1890,"INDIANA",2192404,"State"
1890,"IOWA",1911896,"State"
1890,"KANSAS",1427096,"State"
1890,"KENTUCKY",1858635,"State"
1890,"LOUISIANA",1118587,"State"
1890,"MAINE",661086,"State"
1890,"MARYLAND",1042390,"State"
1890,"MASSACHUSETTS",2238943,"State"
1890,"MICHIGAN",2093889,"State"
1890,"MINNESOTA",1301826,"State"
1890,"MISSISSIPPI",1289600,"State"
1890,"MISSOURI",2679184,"State"
1890,"MONTANA",132159,"State"
1890,"NEBRASKA",1058910,"State"
1890,"NEVADA",45761,"State"
1890,"NEW HAMPSHIRE",376530,"State"
1890,"NEW JERSEY",1444933,"State"
1890,"NEW YORK",5997853,"State"
1890,"NORTH CAROLINA",1617947,"State"
1890,"NORTH DAKOTA",182719,"State"
1890,"OHIO",3672316,"State"
1890,"OREGON",313767,"State"
1890,"PENNSYLVANIA",5258014,"State"
1890,"RHODE ISLAND",345506,"State"
1890,"SOUTH CAROLINA",1151149,"State"
1890,"SOUTH DAKOTA",328808,"State"
1890,"TENNESSEE",1767518,"State"
1890,"TEXAS",2235523,"State"
1890,"UTAH",207905,"Territory"
1890,"VERMONT",332422,"State"
1890,"VIRGINIA",1655980,"State"
1890,"WASHINGTON",349390,"State"
1890,"WEST VIRGINIA",762794,"State"
1890,"WISCONSIN",1686880,"State"
1890,"WYOMING",60705,"State"
